!
-1.02723307898185E+1,144858,1.44528094395528E+5,1.44552790978004E+5,1.44561634787625E+5,1.44548155763749E+5,1.44561433970115E+5
-1.0232156647552E+1,144680,1.44527365903728E+5,1.44552693810852E+5,1.4456160773599E+5,1.44547629570292E+5,1.44561355890558E+5
-1.01919825052856E+1,144987,1.44526606953225E+5,1.44552595505452E+5,1.44561580381991E+5,1.44547076967437E+5,1.44561275202307E+5
-1.01518083630192E+1,144697,1.44525815567047E+5,1.44552496043923E+5,1.44561552721071E+5,1.44546496122486E+5,1.44561191783531E+5
-1.01116342207528E+1,144658,1.44524989598081E+5,1.44552395408024E+5,1.44561524748588E+5,1.44545885040339E+5,1.44561105505093E+5
-1.00714600784864E+1,144236,1.4452412671097E+5,1.44552293579159E+5,1.44561496459809E+5,1.44545241545944E+5,1.44561016230021E+5
-1.003128593622E+1,144731,1.44523224361724E+5,1.44552190538357E+5,1.44561467849912E+5,1.44544563264497E+5,1.44560923812921E+5
-9.99111179395365,144304,1.44522279774697E+5,1.4455208626627E+5,1.4456143891398E+5,1.44543847599061E+5,1.44560828099349E+5
-9.95093765168725,144237,1.44521289916539E+5,1.4455198074316E+5,1.44561409647005E+5,1.44543091705216E+5,1.44560728925122E+5
-9.91076350942084,144802,1.44520251466661E+5,1.44551873948893E+5,1.44561380043877E+5,1.4454229246229E+5,1.44560626115565E+5
-9.87058936715443,144416,1.44519160783668E+5,1.44551765862925E+5,1.44561350099388E+5,1.44541446440623E+5,1.44560519484695E+5
-9.83041522488803,144248,1.44518013867126E+5,1.44551656464297E+5,1.44561319808231E+5,1.44540549864234E+5,1.44560408834328E+5
-9.79024108262162,145098,1.44516806313899E+5,1.44551545731621E+5,1.44561289164989E+5,1.44539598568157E+5,1.44560293953095E+5
-9.75006694035522,144143,1.44515533268168E+5,1.4455143364307E+5,1.44561258164144E+5,1.44538587949538E+5,1.4456017461538E+5
-9.70989279808881,144449,1.44514189364063E+5,1.44551320176369E+5,1.44561226800064E+5,1.44537512911456E+5,1.44560050580137E+5
-9.6697186558224,144290,1.44512768659646E+5,1.44551205308783E+5,1.44561195067007E+5,1.44536367798209E+5,1.44559921589611E+5
-9.629544513556,144358,1.44511264560715E+5,1.44551089017103E+5,1.44561162959117E+5,1.44535146320544E+5,1.44559787367914E+5
-9.58937037128959,144691,1.44509669732623E+5,1.4455097127764E+5,1.44561130470418E+5,1.44533841469053E+5,1.44559647619476E+5
-9.54919622902318,144908,1.44507975997899E+5,1.44550852066205E+5,1.44561097594816E+5,1.44532445413519E+5,1.44559502027323E+5
-9.50902208675678,144634,1.44506174217033E+5,1.44550731358104E+5,1.44561064326093E+5,1.44530949385612E+5,1.44559350251188E+5
-9.46884794449037,144816,1.44504254149194E+5,1.44550609128119E+5,1.44561030657904E+5,1.44529343541714E+5,1.4455919192542E+5
-9.42867380222397,143375,1.44502204288952E+5,1.44550485350501E+5,1.44560996583774E+5,1.4452761680197E+5,1.44559026656671E+5
-9.38849965995756,144448,1.4450001167422E+5,1.44550359998951E+5,1.44560962097097E+5,1.44525756660804E+5,1.44558854021332E+5
-9.34832551769115,144868,1.44497661659496E+5,1.44550233046605E+5,1.4456092719113E+5,1.44523748963028E+5,1.44558673562696E+5
-9.30815137542475,144871,1.44495137647133E+5,1.44550104466027E+5,1.44560891858991E+5,1.44521577638284E+5,1.44558484787793E+5
-9.26797723315834,144625,1.44492420767628E+5,1.44549974229186E+5,1.44560856093655E+5,1.44519224384872E+5,1.44558287163878E+5
-9.22780309089193,144413,1.44489489497685E+5,1.44549842307446E+5,1.4456081988795E+5,1.44516668291742E+5,1.44558080114511E+5
-9.18762894862553,144123,1.44486319202009E+5,1.44549708671545E+5,1.44560783234554E+5,1.44513885384696E+5,1.44557863015178E+5
-9.14745480635912,144611,1.44482881581176E+5,1.44549573291584E+5,1.44560746125992E+5,1.44510848079162E+5,1.44557635188402E+5
-9.10728066409272,144432,1.44479144003268E+5,1.44549436137007E+5,1.4456070855463E+5,1.44507524517345E+5,1.4455739589825E+5
-9.06710652182631,145086,1.44475068690955E+5,1.44549297176585E+5,1.44560670512671E+5,1.44503877761486E+5,1.44557144344177E+5
-9.0269323795599,144218,1.44470611727867E+5,1.44549156378395E+5,1.44560631992156E+5,1.44499864807182E+5,1.44556879654098E+5
-8.9867582372935,144163,1.44465721837886E+5,1.44549013709806E+5,1.4456059298495E+5,1.44495435370511E+5,1.44556600876583E+5
-8.94658409502709,144795,1.44460338877533E+5,1.44548869137458E+5,1.44560553482746E+5,1.44490530389256E+5,1.44556306972037E+5
-8.90640995276068,143734,1.44454391963892E+5,1.44548722627239E+5,1.44560513477059E+5,1.44485080160832E+5,1.44555996802725E+5
-8.86623581049428,144584,1.44447797137001E+5,1.44548574144272E+5,1.44560472959217E+5,1.4447900201602E+5,1.44555669121456E+5
-8.82606166822787,144416,1.44440454424365E+5,1.44548423652886E+5,1.44560431920361E+5,1.44472197396357E+5,1.44555322558724E+5
-8.78588752596147,144360,1.4443224413349E+5,1.44548271116601E+5,1.44560390351436E+5,1.44464548161359E+5,1.44554955608057E+5
-8.74571338369506,144731,1.44423022142636E+5,1.44548116498101E+5,1.44560348243189E+5,1.44455911896021E+5,1.44554566609288E+5
-8.70553924142865,145330,1.44412613885502E+5,1.44547959759212E+5,1.44560305586164E+5,1.44446115914688E+5,1.44554153729402E+5
-8.66536509916225,144459,1.44400806626681E+5,1.44547800860881E+5,1.44560262370692E+5,1.44434949558515E+5,1.44553714940556E+5
-8.62519095689584,144561,1.44387339494314E+5,1.44547639763149E+5,1.44560218586891E+5,1.44422154253446E+5,1.44553247994791E+5
-8.58501681462943,145089,1.44371890567805E+5,1.44547476425125E+5,1.44560174224655E+5,1.44407410627142E+5,1.44552750394847E+5
-8.54484267236303,144136,1.44354060107573E+5,1.44547310804961E+5,1.44560129273652E+5,1.44390321772533E+5,1.4455221936039E+5
-8.50466853009662,144734,1.44333348767098E+5,1.44547142859825E+5,1.44560083723318E+5,1.44370391499089E+5,1.4455165178883E+5
-8.46449438783022,145040,1.44309129379135E+5,1.44546972545872E+5,1.44560037562845E+5,1.44346996164688E+5,1.44551044209693E+5
-8.42432024556381,144643,1.44280610758691E+5,1.44546799818217E+5,1.44559990781181E+5,1.44319348531909E+5,1.44550392731348E+5
-8.3841461032974,144580,1.44246792168008E+5,1.44546624630903E+5,1.44559943367019E+5,1.44286452295466E+5,1.44549692978584E+5
-8.343971961031,143427,1.44206408229292E+5,1.4454644693687E+5,1.44559895308793E+5,1.44247047068368E+5,1.44548940019225E+5
-8.30379781876459,143633,1.44157867441291E+5,1.44546266687926E+5,1.44559846594666E+5,1.44199546985115E+5,1.44548128277547E+5
-8.26362367649818,143968,1.44099195781626E+5,1.44546083834711E+5,1.44559797212529E+5,1.44141984406609E+5,1.44547251431739E+5
-8.22344953423178,144539,1.44028015588936E+5,1.44545898326664E+5,1.44559747149987E+5,1.44071988924228E+5,1.4454630229202E+5
-8.18327539196537,144042,1.43941628838764E+5,1.44545710111987E+5,1.44559696394355E+5,1.43986870781233E+5,1.44545272655153E+5
-8.14310124969897,143917,1.43837347388472E+5,1.44545519137609E+5,1.44559644932648E+5,1.43883951292089E+5,1.44544153130091E+5
-8.10292710743256,143089,1.43713329500487E+5,1.44545325349148E+5,1.44559592751571E+5,1.43761399575621E+5,1.4454293292811E+5
-8.06275296516615,143842,1.43570298962307E+5,1.44545128690872E+5,1.44559539837515E+5,1.43619951928822E+5,1.44541599609062E+5
-8.02257882289975,143280,1.43414419666653E+5,1.4454492910566E+5,1.44559486176541E+5,1.43465786715285E+5,1.44540138773132E+5
-7.98240468063334,143819,1.43260716338056E+5,1.44544726534954E+5,1.44559431754377E+5,1.43313945468079E+5,1.4453853368461E+5
-7.94223053836693,143184,1.43134239397614E+5,1.44544520918725E+5,1.44559376556404E+5,1.43189498216101E+5,1.44536764810347E+5
-7.90205639610053,142880,1.43064218052575E+5,1.4454431219542E+5,1.44559320567646E+5,1.43121697142838E+5,1.44534809250634E+5
-7.86188225383412,143608,1.43070144638606E+5,1.44544100301918E+5,1.44559263772763E+5,1.43130061634228E+5,1.4453264003366E+5
